Description,,Summary Amt.
Beginning balance as of 01/01/2026,,"5,432.10"
Total credits,,"6,000.00"
Total debits,,"-5,568.00"
Ending balance as of 04/01/2026,,"5,864.10"

Date,Description,Amount,Running Bal.
01/01/2026,Beginning balance as of 01/01/2026,,"5,432.10"
01/02/2026,"ACME DESIGN STUDIO DES:PAYROLL ID:2601024821 INDN:JORDAN TAYLOR CO ID:1847263950 PPD","1,000.00","6,432.10"
01/03/2026,"MAPLE GROVE APTS DES:RENT ID:JAN20264821 INDN:JORDAN TAYLOR CO ID:9210473568 WEB","-850.00","5,582.10"
01/06/2026,"DEBIT CARD PURCHASE 0105 FRESH MARKET 0241 SPRINGFIELD MO","-245.67","5,336.43"
01/08/2026,"CITY ELECTRIC DES:AUTOPAY ID:482100184 INDN:JORDAN TAYLOR CO ID:7100392841 PPD","-98.43","5,238.00"
01/10/2026,"MOBILE CONNECT DES:WIRELESS ID:48217602 INDN:JORDAN TAYLOR CO ID:2000450198 WEB","-72.00","5,166.00"
01/12/2026,"HARBOR INSURANCE DES:AUTO PREM ID:61104821 INDN:JORDAN TAYLOR CO ID:3750192640 PPD","-135.20","5,030.80"
01/15/2026,"ACME DESIGN STUDIO DES:PAYROLL ID:2601154821 INDN:JORDAN TAYLOR CO ID:1847263950 PPD","1,000.00","6,030.80"
01/17/2026,"DEBIT CARD PURCHASE 0116 QUICKFUEL 1187 SPRINGFIELD MO","-96.35","5,934.45"
01/19/2026,"DEBIT CARD PURCHASE 0118 RIVERSTONE CAFE SPRINGFIELD MO","-84.75","5,849.70"
01/21/2026,"STREAMFLIX DES:SUBSCRIPTION ID:48210126 INDN:JORDAN TAYLOR CO ID:3900128841 WEB","-18.99","5,830.71"
01/23/2026,"DEBIT CARD PURCHASE 0122 COMMUNITY PHARMACY SPRINGFIELD MO","-42.61","5,788.10"
01/25/2026,"METRO TRANSIT DES:MONTHLY PASS ID:482101 INDN:JORDAN TAYLOR CO ID:1748200391 WEB","-36.00","5,752.10"
01/27/2026,"ACTIVE LIFE GYM DES:MEMBERSHIP ID:482127 INDN:JORDAN TAYLOR CO ID:6620193748 PPD","-45.00","5,707.10"
01/29/2026,"DEBIT CARD PURCHASE 0128 HOME & HOBBY STORE SPRINGFIELD MO","-131.00","5,576.10"
02/02/2026,"ACME DESIGN STUDIO DES:PAYROLL ID:2602024821 INDN:JORDAN TAYLOR CO ID:1847263950 PPD","1,000.00","6,576.10"
02/03/2026,"MAPLE GROVE APTS DES:RENT ID:FEB20264821 INDN:JORDAN TAYLOR CO ID:9210473568 WEB","-850.00","5,726.10"
02/06/2026,"DEBIT CARD PURCHASE 0205 FRESH MARKET 0241 SPRINGFIELD MO","-232.18","5,493.92"
02/08/2026,"CITY ELECTRIC DES:AUTOPAY ID:482100219 INDN:JORDAN TAYLOR CO ID:7100392841 PPD","-105.72","5,388.20"
02/10/2026,"MOBILE CONNECT DES:WIRELESS ID:48217602 INDN:JORDAN TAYLOR CO ID:2000450198 WEB","-72.00","5,316.20"
02/12/2026,"HARBOR INSURANCE DES:AUTO PREM ID:61104821 INDN:JORDAN TAYLOR CO ID:3750192640 PPD","-135.20","5,181.00"
02/16/2026,"ACME DESIGN STUDIO DES:PAYROLL ID:2602164821 INDN:JORDAN TAYLOR CO ID:1847263950 PPD","1,000.00","6,181.00"
02/17/2026,"DEBIT CARD PURCHASE 0216 QUICKFUEL 1187 SPRINGFIELD MO","-88.40","6,092.60"
02/19/2026,"DEBIT CARD PURCHASE 0218 RIVERSTONE CAFE SPRINGFIELD MO","-92.55","6,000.05"
02/21/2026,"STREAMFLIX DES:SUBSCRIPTION ID:48210226 INDN:JORDAN TAYLOR CO ID:3900128841 WEB","-18.99","5,981.06"
02/23/2026,"DEBIT CARD PURCHASE 0222 COMMUNITY PHARMACY SPRINGFIELD MO","-38.96","5,942.10"
02/24/2026,"METRO TRANSIT DES:MONTHLY PASS ID:482102 INDN:JORDAN TAYLOR CO ID:1748200391 WEB","-36.00","5,906.10"
02/26/2026,"ACTIVE LIFE GYM DES:MEMBERSHIP ID:482226 INDN:JORDAN TAYLOR CO ID:6620193748 PPD","-45.00","5,861.10"
02/28/2026,"DEBIT CARD PURCHASE 0227 NORTHSIDE BOOKS SPRINGFIELD MO","-141.00","5,720.10"
03/02/2026,"ACME DESIGN STUDIO DES:PAYROLL ID:2603024821 INDN:JORDAN TAYLOR CO ID:1847263950 PPD","1,000.00","6,720.10"
03/03/2026,"MAPLE GROVE APTS DES:RENT ID:MAR20264821 INDN:JORDAN TAYLOR CO ID:9210473568 WEB","-850.00","5,870.10"
03/06/2026,"DEBIT CARD PURCHASE 0305 FRESH MARKET 0241 SPRINGFIELD MO","-258.34","5,611.76"
03/08/2026,"CITY ELECTRIC DES:AUTOPAY ID:482100307 INDN:JORDAN TAYLOR CO ID:7100392841 PPD","-91.88","5,519.88"
03/10/2026,"MOBILE CONNECT DES:WIRELESS ID:48217602 INDN:JORDAN TAYLOR CO ID:2000450198 WEB","-72.00","5,447.88"
03/12/2026,"HARBOR INSURANCE DES:AUTO PREM ID:61104821 INDN:JORDAN TAYLOR CO ID:3750192640 PPD","-135.20","5,312.68"
03/16/2026,"ACME DESIGN STUDIO DES:PAYROLL ID:2603164821 INDN:JORDAN TAYLOR CO ID:1847263950 PPD","1,000.00","6,312.68"
03/17/2026,"DEBIT CARD PURCHASE 0316 QUICKFUEL 1187 SPRINGFIELD MO","-102.17","6,210.51"
03/19/2026,"DEBIT CARD PURCHASE 0318 GARDEN TABLE GRILL SPRINGFIELD MO","-79.65","6,130.86"
03/21/2026,"STREAMFLIX DES:SUBSCRIPTION ID:48210326 INDN:JORDAN TAYLOR CO ID:3900128841 WEB","-18.99","6,111.87"
03/23/2026,"DEBIT CARD PURCHASE 0322 COMMUNITY PHARMACY SPRINGFIELD MO","-35.77","6,076.10"
03/25/2026,"METRO TRANSIT DES:MONTHLY PASS ID:482103 INDN:JORDAN TAYLOR CO ID:1748200391 WEB","-36.00","6,040.10"
03/27/2026,"ACTIVE LIFE GYM DES:MEMBERSHIP ID:482327 INDN:JORDAN TAYLOR CO ID:6620193748 PPD","-45.00","5,995.10"
03/29/2026,"DEBIT CARD PURCHASE 0328 CEDAR HOME GOODS SPRINGFIELD MO","-131.00","5,864.10"
